parameter_name,value,unit,source,source_type,confidence,sensitivity,notes
cht_thermal_mass,17940,J_per_K,"calculated: 20 kg Al head (literature-typical mass for this displacement class) x 897 J/kg/K (Al specific heat, published)",literature,medium,high,"PER-CYLINDER value (each cylinder gets its own 20kg-head-share estimate and its own CHT state, C_thermal in dT/dt=(Qin-Qout)/C). Head mass is an engineering estimate, not AE300-specific -- no published value exists for any engine's head mass. Provisional."
cht_heat_transfer_coeff,42.25,W_per_K,"PER-CYLINDER: aggregate whole-head coefficient (169 W/K, from Q_head=18.6kW / (200C literature ceiling - 90C nominal coolant)) divided by 4 cylinders -- both heat AND coefficient must split by cylinder count together, not heat alone",literature,low,high,"Combustion->head heat path, now wired per-cylinder in the thermal subsystem. Verified: per-cylinder steady-state CHT comes out to 205.1C, landing inside the diesel-literature ceiling (180-220C) -- consistent, not coincidental, since the split was done correctly on both sides of the ratio."
egt_model_coeff,1100,J_per_kg_K,"cp_exhaust used in EGT_rise = Q_exhaust/(exhaust_mdot*cp_exhaust) -- literature-typical for diesel exhaust (slightly above dry air's 1005)",literature,medium,high,"STEP 3 VALIDATION FINDING (fixed): the original exhaust_fraction = 1-work_fraction-coolant_fraction blew up at low throttle (work_fraction craters faster than fuel-floor-driven heat release), giving idle EGT=911.9C -- exceeding the literature ceiling AND higher than rated (694.4C), physically backwards. Fixed by making exhaust_fraction a literature-anchored CONSTANT (0.35, same treatment as coolant_fraction) instead of a residual, with the genuine leftover ('other_losses_fraction') routed into the oil-heat path where friction/pumping losses physically belong -- rated point barely moved (694.4->696.4C) but idle dropped to a sane 513.5C. Full 5-point throttle sweep (idle/low/cruise/high/rated) now monotonic and within bounds; see also the altitude/hot-day sweep note below."
oil_thermal_mass,222300,J_per_K,"REVISED: back-solved to target a ~300s (5min) time constant given UA_oilcooler below -- a fluid-only estimate (~6L oil x specific heat = 10560 J/K) gave an unrealistic ~14s time constant. Real driver is fluid PLUS wetted metal (galleries, sump, cooler) in continuous thermal contact, not fluid alone.",calibrated,low,medium,"Oil temp lag. Equivalent to ~53kg of water-equivalent thermal mass -- large relative to actual oil volume because it represents the combined loop, not just the fluid. Provisional; revisit once the full oil-cooling network can be validated against real transient data."
oil_cooler_uac,741.0,W_per_K,"calibrated: (friction heat at rated, 14.82 kW) / (target oil 115C - target coolant 95C)",calibrated,medium,high,"Supersedes the earlier dimensionless oil_cooler_effectiveness (0.7) with an explicit UA -- Q_oil_rejected = UA*(T_oil-T_coolant), matching the same UA-based radiator model used for coolant, for internal consistency."
coolant_thermal_mass,279648,J_per_K,"REVISED: back-solved to target a ~240s (4min) time constant given UA_radiator below -- a fluid-only estimate (~5L coolant x specific heat = 18375 J/K) gave an unrealistic ~16s time constant. Same fluid-vs-effective-mass issue as oil above.",calibrated,low,medium,"Coolant temp dynamics. Equivalent to ~67kg water-equivalent thermal mass -- represents block+radiator+hoses+coolant combined, not coolant volume alone."
cooling_heat_rejection_nominal,93200,W,"calculated: published fuel flow at 100% power (35 L/h x 0.8 kg/L = 28 kg/h) x fuel LHV (42.8 MJ/kg) = 332.9 kW fuel energy input, x 28% (literature-typical diesel coolant heat-rejection fraction) = 93.2 kW",calibrated,medium,high,"Nominal cooling capacity; cooling_health scales this. The 28% split is a literature heat-balance assumption (typical diesel splits: ~35-37% mechanical work [cross-checked: 123.5kW/332.9kW=37.1%, consistent], ~28% coolant, remainder exhaust+radiation) -- not AE300-specific, but anchored to AE300's own published fuel-flow data, not invented from nothing."
radiator_uac,1330,W_per_K,"empirically tuned against the fully-coupled simulated thermal network (CHT x4 + coolant + oil all feeding back on each other) -- a first-pass hand estimate (1165.2 W/K, assuming the other loops sat exactly at their individual targets) undershot once properly coupled, since each loop's steady state depends on the others' actual (not assumed) temperatures",calibrated,medium,high,"Q_radiator_rejected = UA*(T_coolant-T_ambient). Verified result: CHT=204.5C, coolant=95.5C, oil=114.9C -- all three land almost exactly on their literature/TCDS targets simultaneously once tuned this way."
#
# ---- LUBRICATION -------------------------------------------------------------
# Method: calibrate a linear pressure-vs-RPM model anchored to the two real
# TCDS MINIMUM limits (0.9 bar @ idle, 2.5 bar @ max continuous) -- a
# conservative floor-based model, not claimed as the true nominal (a healthy
# engine runs somewhat above these minimums for margin), but honestly derived
# from published data rather than guessed.
oil_pressure_nominal,2.5,bar,"calibrated: linear model anchored to TCDS minimums, evaluated at rated_rpm",calibrated,medium,medium,"oil_pump_health scales this. This IS the TCDS minimum-at-max-continuous, used as a conservative nominal floor -- comfortably inside the full published band (0.9-6.5 bar). Revisit with a real margin above minimum once the lubrication subsystem exists."
oil_pump_gain,0.000519,bar_per_rpm,"calibrated: (2.5-0.9 bar)/(3880-800 rpm), fit through the two published TCDS minimum-pressure points",calibrated,medium,medium,"Pressure vs RPM relationship. Linear fit through published minimums (idle, max-continuous) -- P(rpm) = 0.9 + 0.000519*(rpm-800). Cross-check: P(3880)=2.50 bar, matches the anchor exactly by construction. Now wired live in engine_core.slx -- verified P(800)=0.90, P(3880)=2.50 bar exactly."
cooling_health_init,1.0,fraction,"design decision -- healthy baseline for the cooling_degradation fault hook, built now rather than deferred to Step 4",calibrated,high,high,"Scales radiator UA (Q_radiator = cooling_health * UA_radiator * (T_coolant-T_ambient)). Verified: at 0.5, CHT/coolant/oil all rise together (204.5->272.9C, 95.5->168.6C, 114.9->185.1C) -- matches failure-mode-matrix.csv's stated discriminator for cooling_degradation (coupled group), oil pressure correctly unaffected."
oil_pump_health_init,1.0,fraction,"design decision -- healthy baseline for the lubrication_degradation fault hook, built now rather than deferred to Step 4",calibrated,high,high,"Scales oil pressure directly AND oil-cooler UA (reduced pump flow degrades both delivery pressure and circulation-driven cooling). Verified: at 0.5, oil pressure halves (2.50->1.25 bar) and oil temp rises (114.9->131.5C) while CHT/coolant stay essentially unchanged (204.5->203.5C, 95.5->94.7C) -- matches the matrix's discriminator distinguishing this from cooling_degradation's coupled-group signature."
#
# ---- FUEL SYSTEM -------------------------------------------------------------
rail_pressure_nominal,1500,bar,"modern-CRDI-class literature range: ~300 bar idle to ~1400-1600 bar full load; 1500 used as the full-load representative figure",literature,medium,high,"common-rail nominal -- NOT the same as fuel_supply_pressure_min/max above (those are the LP supply feeding the HP pump, 4-7 bar). This is genuinely load-dependent (a map, not a true constant) -- once the CRDI subsystem exists it needs rail_pressure(load,rpm), not a fixed scalar. No AE300-specific rail pressure is published anywhere."
fuel_flow_100pct_power,35,L_per_h,AE300 factsheet,published,high,high,"validation target: at 123.5 kW (100% power)"
fuel_flow_60pct_power,19,L_per_h,AE300 factsheet,published,high,medium,"validation target: at 74.1 kW (60% power)"
bsfc_cruise,178.1,g_per_kWh,"back-solved from factsheet fuel-flow points (15.2, 28.0 kg/h at 74.1, 123.5 kW) WITH an added idle-fuel-floor term (fuel_idle_flow below) -- the raw two-point BSFC (205/227 g/kWh, no floor) is what a naive calculation gives, but overshoots published fuel flow once a floor is added on top",calculated,medium,high,"Model: fuel_flow_kg_h = fuel_idle_flow_kg_h + ref_power_kW*BSFC(ref_power)/1000. Corrected breakpoints [178.1 @ 74.1kW, 210.5 @ 123.5kW] make this reproduce BOTH published points exactly (verified: 15.20 and 28.00 kg/h). The floor exists because pure BSFC-based fueling has a singularity as power->0 (idle) -- see fuel_idle_flow_kg_h."
fuel_idle_flow_kg_h,2.0,kg_per_h,"literature-typical small-diesel idle consumption (~2.5 L/h)",literature,low,medium,"Added as a floor beneath the BSFC-based term specifically to avoid the zero-power singularity (BSFC*power -> 0 at idle would otherwise predict zero idle fuel consumption, which is physically wrong -- an idling engine still burns fuel to sustain itself)."
rail_pressure_map_loadfraction,"0 / 0.5 / 1.0",fraction,"schedule breakpoints, paired with rail_pressure_map_bar below",calibrated,medium,high,"Load-fraction is COMMANDED load (throttle x reference torque, pre-turbo-derating) -- a real ECU schedules rail pressure off demand, not off what the turbo manages to deliver."
rail_pressure_map_bar,"300 / 900 / 1500",bar,"literature CRDI-class range: idle ~300 bar, full load ~1400-1600 bar (see rail_pressure_nominal above); part-load point (900) interpolated, not independently sourced",literature,low,high,"Supersedes the single rail_pressure_nominal scalar with a 3-point load-scheduled map, consistent with how real CRDI systems actually modulate rail pressure."
injector_flow_rate_ref,30,mg_per_ms,"literature-typical modern CRDI injector flow rate at RailPressureRef (1500 bar)",literature,low,medium,"Used with an orifice-flow sqrt(P_rail/P_ref) scaling to compute injection_duration from injected quantity -- injection_duration and injected fuel quantity are COMPUTED outputs of the fuel model, not independently sourced parameters (per the earlier fuel-system directive: don't source outputs). Cross-checked: gives 2.00ms at rated load, 1.55ms at idle -- both sane for modern CRDI."
fuel_tank_capacity,80,kg,"mission-profile assumption, not an engine parameter -- sized for a several-hour endurance/loiter mission at ~19-35 L/h (60-100% power) fuel flow",assumed,low,low,"Sets fuel_remaining init. Genuinely mission-dependent, not engine-dependent -- revisit once mission-shape durations (short patrol / long loiter / etc.) are finalized in the dataset-generation design, don't treat this single number as settled."
#
# ---- ELECTRICAL (all low-sensitivity -- this subsystem exists to produce a
#      battery-SOC signal for the alternator fault, not to drive engine
#      physics. No Austro-specific electrical spec is published anywhere;
#      minimal effort here is deliberate, not an oversight.) -----------------
alternator_rated_power,2,kW,"assumed -- typical class for a small aviation piston engine's electrical system",assumed,low,low,alternator_health scales this
battery_capacity,20,Ah,"assumed -- typical small-aircraft battery, within the 10-24 Ah range",assumed,low,low,SOC dynamics
system_voltage,28,V,"assumed -- standard aviation 28V regulated bus convention (battery itself nominally 24V, charged/regulated to 28V -- standard aviation electrical architecture, not AE300-specific)",assumed,low,low,14/28V class
#
# ---- PHYSICS CONSTANTS (REAL - not TBD, not tuned) ---------------------------
R_specific_air,287.05,J_per_kg_K,physics,published,high,low,ideal gas
gamma_air,1.4,-,physics,published,high,low,ratio of specific heats
cp_air,1005,J_per_kg_K,physics,published,high,low,
g_gravity,9.80665,m_per_s2,physics,published,high,low,
